datetime,temperature,feels_like,min_temp,max_temp,pressure,humidity,weather_main,cloud_cover,wind_speed,wind_deg,wind_gust,visibility,pop
2025-02-20 18:00:00,16.37,15.58,14.95,16.37,1024,58,Clouds,26,2.61,222,3.74,10000,0.0
2025-02-20 21:00:00,14.48,13.65,13.18,14.48,1025,64,Clouds,61,1.79,221,2.12,10000,0.0
2025-02-21 00:00:00,11.68,10.86,11.68,11.68,1024,75,Clouds,94,1.51,221,1.6,10000,0.0
2025-02-21 03:00:00,11.04,10.26,11.04,11.04,1023,79,Clouds,100,1.27,213,1.57,10000,0.0
2025-02-21 06:00:00,10.33,9.59,10.33,10.33,1022,83,Clouds,100,0.65,178,0.72,10000,0.0
2025-02-21 09:00:00,12.0,11.11,12.0,12.0,1022,71,Clouds,100,1.09,169,2.2,10000,0.0
2025-02-21 12:00:00,14.88,13.91,14.88,14.88,1020,57,Clouds,100,4.36,208,9.2,10000,0.0
2025-02-21 15:00:00,16.16,14.98,16.16,16.16,1017,44,Clouds,100,5.82,204,10.0,10000,0.0
2025-02-21 18:00:00,13.82,12.85,13.82,13.82,1017,61,Clouds,93,4.56,210,9.07,10000,0.0
2025-02-21 21:00:00,11.77,11.04,11.77,11.77,1018,78,Rain,71,6.07,204,12.7,10000,0.99
2025-02-22 00:00:00,11.26,10.77,11.26,11.26,1017,89,Rain,85,6.76,220,12.19,10000,1.0
2025-02-22 03:00:00,9.8,7.21,9.8,9.8,1018,86,Clouds,100,5.35,231,8.44,10000,0.0
2025-02-22 06:00:00,9.21,7.19,9.21,9.21,1019,78,Clouds,100,3.68,256,5.34,10000,0.0
2025-02-22 09:00:00,10.04,8.61,10.04,10.04,1021,58,Clouds,100,2.79,297,3.93,10000,0.0
2025-02-22 12:00:00,13.36,11.82,13.36,13.36,1021,41,Clouds,89,1.1,321,2.31,10000,0.0
2025-02-22 15:00:00,15.12,13.5,15.12,15.12,1020,31,Clouds,20,4.48,316,4.74,10000,0.0
2025-02-22 18:00:00,12.87,11.26,12.87,12.87,1022,40,Clouds,51,4.66,336,5.83,10000,0.0
2025-02-22 21:00:00,11.0,9.46,11.0,11.0,1025,50,Clouds,17,2.22,7,3.42,10000,0.0
2025-02-23 00:00:00,9.36,8.46,9.36,9.36,1026,56,Clear,9,1.98,47,2.54,10000,0.0
2025-02-23 03:00:00,8.0,7.36,8.0,8.0,1027,60,Clear,0,1.51,80,1.57,10000,0.0
2025-02-23 06:00:00,7.14,7.14,7.14,7.14,1029,63,Clear,0,0.41,37,0.25,10000,0.0
2025-02-23 09:00:00,9.08,9.08,9.08,9.08,1030,56,Clear,0,0.67,323,1.07,10000,0.0
2025-02-23 12:00:00,13.29,11.67,13.29,13.29,1029,38,Clear,0,0.38,325,0.86,10000,0.0
2025-02-23 15:00:00,15.4,13.7,15.4,15.4,1027,27,Clear,4,1.08,162,1.1,10000,0.0
2025-02-23 18:00:00,14.01,12.3,14.01,14.01,1028,32,Clouds,19,2.18,195,2.93,10000,0.0
2025-02-23 21:00:00,11.97,10.5,11.97,11.97,1030,49,Clouds,80,2.28,239,3.86,10000,0.0
2025-02-24 00:00:00,10.37,9.0,10.37,10.37,1030,59,Clouds,65,1.45,246,1.46,10000,0.0
2025-02-24 03:00:00,9.36,9.36,9.36,9.36,1031,62,Clouds,100,1.07,219,1.22,10000,0.0
2025-02-24 06:00:00,8.36,8.36,8.36,8.36,1031,66,Clouds,100,1.22,228,1.34,10000,0.0
2025-02-24 09:00:00,9.88,9.35,9.88,9.88,1031,59,Clouds,88,1.66,223,2.52,10000,0.0
2025-02-24 12:00:00,13.87,12.49,13.87,13.87,1029,45,Clouds,94,3.6,234,4.15,10000,0.0
2025-02-24 15:00:00,15.68,14.27,15.68,15.68,1026,37,Clouds,100,4.74,234,4.87,10000,0.0
2025-02-24 18:00:00,13.4,12.1,13.4,13.4,1027,50,Clouds,100,4.22,231,6.44,10000,0.0
2025-02-24 21:00:00,11.46,10.36,11.46,11.46,1027,65,Clouds,100,2.56,238,4.16,10000,0.0
2025-02-25 00:00:00,10.39,9.18,10.39,10.39,1027,65,Clouds,91,1.15,244,1.83,10000,0.0
2025-02-25 03:00:00,10.11,8.9,10.11,10.11,1026,66,Clouds,99,0.57,146,2.28,10000,0.0
2025-02-25 06:00:00,9.49,9.49,9.49,9.49,1025,74,Rain,99,0.53,232,0.96,10000,0.2
2025-02-25 09:00:00,8.7,8.7,8.7,8.7,1026,86,Rain,100,0.91,90,0.83,10000,1.0
2025-02-25 12:00:00,8.87,8.35,8.87,8.87,1025,90,Rain,100,1.51,231,2.37,10000,1.0
2025-02-25 15:00:00,11.08,10.1,11.08,11.08,1022,71,Rain,100,1.22,353,3.31,10000,1.0
